Number of Favorites,count,roberta_neg,roberta_neu,roberta_pos,ID,neg,neu,pos,compound
0-999,5702,0.074448666,0.603330682,0.322220651,7.82E+17,0.02376061,0.802622589,0.17361838,0.37970021
1000-1999,831,0.074931265,0.516845695,0.40822304,4.84E+17,0.02720698,0.776320096,0.196477738,0.430056799
2000-2999,771,0.063706269,0.640370896,0.295922833,3.15E+17,0.020246433,0.806843061,0.172918288,0.392338911
3000-3999,261,0.088241852,0.526141047,0.3856171,4.32E+17,0.040007663,0.782521073,0.177444444,0.353615709
4000-4999,211,0.087210956,0.522551769,0.39023727,4.48E+17,0.033981043,0.768199052,0.197815166,0.401494313
5000-5999,237,0.070752809,0.51327881,0.415968376,4.43E+17,0.026206751,0.764603376,0.209189873,0.436285654
6000-6999,227,0.093529158,0.616465155,0.290005689,5.33E+17,0.027110132,0.815546256,0.157334802,0.367600441
7000-8999,143,0.110472804,0.5404448,0.349082398,5.61E+17,0.043867133,0.771559441,0.18458042,0.367262937
8000-8999,83,0.090504342,0.458080114,0.451415542,4.98E+17,0.03039759,0.760554217,0.209048193,0.432040964
9000-9999,141,0.086353537,0.549167627,0.364478837,7.22E+17,0.03587234,0.777624113,0.186503546,0.365717021
more than 10000,1393,0.143200762,0.523642701,0.333156539,3.50E+17,0.053328787,0.776073941,0.170592247,0.303087653
